address;balance_btc_prev;n_tr_prev;time_prev;ts_prev;exchange_rate_prev;cum_profit_prev;cohort_prev;last_block;label;balance_btc;balance_usd;first_tr;last_tr;tr_btc;n_tr;time;ts;exchange_rate;tr_profit;cum_profit;cohort;abs_delta
3DGxAYYUA61WrrdbBac8Ra9eA9peAQwTJF;902.75176872;78646;2024-02-20 05:00:00 UTC;1708401600;51695.15;72610424.53951831;b;831206;54830425;1188.0;71508179.0;2019-09-27 06:39:22 UTC;2024-04-18 23:31:54 UTC;0.0;178260;2024-04-19 02:51:49 UTC;1713495600;60601.99;0.0;0.0;c;285.24823128
bc1q7yrrg9mc72uhh505hgw96z5vlwvvc08v4hyfcg;3042.00192486;59;2024-02-16 17:00:00 UTC;1708099200;51959.17;87025798.3644062;c;830740;;2759.0;166139580.0;2023-04-26 13:52:52 UTC;2024-04-16 09:41:23 UTC;0.0;66;2024-04-19 02:51:49 UTC;1713495600;60601.99;0.0;0.0;c;283.00192486000014
3N4w4WvTGtcQbRMyEnWyosSntYzeuHKXqr;2632.28263696;491;2024-02-21 09:00:00 UTC;1708502400;51488.75;60075110.80813238;c;831376;87274409;2354.0;141753738.0;2022-05-10 08:47:32 UTC;2024-04-18 04:49:59 UTC;0.0;271;2024-04-19 02:51:49 UTC;1713495600;60601.99;0.0;0.0;c;278.2826369600002
bc1qm4hycszv0v0qel3swxqyp57nkpnnrda4rc55lm;207.3982962;242;2024-02-21 03:00:00 UTC;1708480800;52053.46;8753687.85370409;b;831341;93629677;482.99;29084418.0;2022-11-11 09:06:31 UTC;2024-04-18 21:34:13 UTC;0.0;737;2024-04-19 02:51:49 UTC;1713495600;60601.99;0.0;0.0;b;275.5917038
1B2kHN8B3RF8eq6jyG3bbPdQT9sbyACzku;352.81815793;38;2024-02-21 04:00:00 UTC;1708484400;51967.8;3035076.15711987;b;831345;;627.41;37781012.0;2023-12-01 17:21:09 UTC;2024-04-18 23:21:56 UTC;0.0;82;2024-04-19 02:51:49 UTC;1713495600;60601.99;0.0;0.0;b;274.59184207
333EGqwanRKmWawTgT3rZdJewVdZUfKVD8;448.87387572;12;2024-02-06 18:00:00 UTC;1707238800;43164.06;-296218.76294673;b;829238;;177.83;10708716.0;2022-11-30 23:36:24 UTC;2024-02-21 18:25:53 UTC;0.0;4;2024-04-19 02:51:49 UTC;1713495600;60601.99;0.0;0.0;b;271.04387571999996
3CYWfB6m7n87QZKuCEqmDnaAPcy8mSEd4j;647.54078848;1729;2024-02-14 14:00:00 UTC;1707915600;51721.28;31691178.72576305;b;830427;;384.36;23144919.0;2019-07-29 20:38:40 UTC;2024-04-17 21:40:23 UTC;0.0;1797;2024-04-19 02:51:49 UTC;1713495600;60601.99;0.0;0.0;b;263.18078847999993
bc1qpd5hy88tpd6zvre25d0643fexhzpr9p2cu3fpf;1528.56811443;348;2024-02-21 13:00:00 UTC;1708516800;51182.91;29151407.99922012;c;831402;;1791.0;107834048.0;2022-07-12 12:11:23 UTC;2024-04-18 12:47:15 UTC;0.0;250;2024-04-19 02:51:49 UTC;1713495600;60601.99;0.0;0.0;c;262.4318855700001
bc1q76hhpuusd2qva30s0pycafu25ncjctcknrwcnqwjz0qxkmtuw3rqd2gs5y;1425.08161964;160;2024-02-21 09:00:00 UTC;1708502400;51488.75;21459401.24650595;c;831376;;1163.0;70041868.0;2023-10-05 15:40:56 UTC;2024-04-18 04:49:59 UTC;0.0;188;2024-04-19 02:51:49 UTC;1713495600;60601.99;0.0;0.0;c;262.0816196400001
3N1VAxjiQxfSvCaWt7zZWeAG1Rmwx9w2b6;665.74276658;582;2024-02-21 02:00:00 UTC;1708477200;52100.1;11160107.15444961;b;831333;93476454;926.19;55772415.0;2023-01-06 02:09:38 UTC;2024-04-18 01:50:24 UTC;0.0;362;2024-04-19 02:51:49 UTC;1713495600;60601.99;0.0;0.0;b;260.4472334200001
