address;label;tr_btc;balance_btc;balance_usd;first_tr;last_tr;n_tr;time;ts;ts_finish;exchange_rate;tr_profit;cum_profit;cohort;last_block;changed
111XgdKwqrtkDo7mJ1UhodRAZSHyZgWdZ;;0.0;200.0;12043467.0;2024-02-22 19:49:16 UTC;2024-02-22 19:49:16 UTC;1;2024-04-19 02:51:49 UTC;1713495600;;60601.99;0.0;0.0;b;-1;False
113fj7Wh1LZNECmvTLYNvUfenAz2CDVCHU;;0.0;193.32;11641083.0;2024-04-09 23:30:42 UTC;2024-04-09 23:30:42 UTC;1;2024-04-19 02:51:49 UTC;1713495600;;60601.99;0.0;0.0;b;-1;False
11BoYMXaxoQcdpTNUGNib27gSU2sXmLJZ;;0.0;186.33;11220503.0;2023-12-01 20:28:45 UTC;2024-04-04 22:25:18 UTC;5;2024-04-19 02:51:49 UTC;1713495600;;60601.99;0.0;0.0;b;-1;False
126qzTk4A3xhFm1teWS9A1em7VUpb351aZ;;0.0;195.77;11788554.0;2019-12-07 02:49:50 UTC;2024-03-10 07:57:43 UTC;261;2024-04-19 02:51:49 UTC;1713495600;;60601.99;0.0;0.0;b;-1;False
127NCSYF8NxKSUUEDwEiEHrWXpKfVsmX7z;;0.0;455.0;27398888.0;2024-03-27 15:39:58 UTC;2024-03-28 18:17:46 UTC;3;2024-04-19 02:51:49 UTC;1713495600;;60601.99;0.0;0.0;b;-1;False
12KnCveKvciC8WjzxRF499E8rzUJTswKjW;;0.0;727.05;43781125.0;2024-04-16 17:24:59 UTC;2024-04-18 01:04:22 UTC;6;2024-04-19 02:51:49 UTC;1713495600;;60601.99;0.0;0.0;b;-1;False
12LUfyTzkHbXQSNudNLJA5ckc7vkNmGW1L;;0.0;745.23;44875568.0;2024-03-13 12:36:28 UTC;2024-03-13 12:36:28 UTC;1;2024-04-19 02:51:49 UTC;1713495600;;60601.99;0.0;0.0;b;-1;False
12R9pR5J3G9dqJxCcZeU8uAotGY5N5rNb1;;0.0;229.32;13809227.0;2024-03-13 11:13:46 UTC;2024-04-09 17:38:03 UTC;12;2024-04-19 02:51:49 UTC;1713495600;;60601.99;0.0;0.0;b;-1;False
12RNCDkJ5JLpr5zfjw7U6cad5rzgZZ46j8;;0.0;600.0;36130402.0;2024-02-28 18:39:20 UTC;2024-02-28 18:39:20 UTC;1;2024-04-19 02:51:49 UTC;1713495600;;60601.99;0.0;0.0;b;-1;False
12SeHNSLNSG7TcTWWDwyxvjAeraH6wSVZR;;0.0;3220.0;193875877.0;2024-02-27 15:46:59 UTC;2024-02-27 18:09:09 UTC;22;2024-04-19 02:51:49 UTC;1713495600;;60601.99;0.0;0.0;c;-1;False
12T8dNEF1Ye85FdNnh9DwQXDUZx4iR7PR3;;0.0;1011.0;60860404.0;2024-03-01 06:39:15 UTC;2024-03-01 06:39:15 UTC;1;2024-04-19 02:51:49 UTC;1713495600;;60601.99;0.0;0.0;c;-1;False
12j6X4mgzTt2CK48f3xiRF76tpMy4pe2s2;;0.0;727.05;43781125.0;2024-04-17 18:08:13 UTC;2024-04-18 01:04:22 UTC;7;2024-04-19 02:51:49 UTC;1713495600;;60601.99;0.0;0.0;b;-1;False
12jdkCmUD9pQVT1UhMDnasd6ycmh2aGQku;;0.0;600.0;36130402.0;2024-02-28 19:23:18 UTC;2024-02-28 19:23:18 UTC;1;2024-04-19 02:51:49 UTC;1713495600;;60601.99;0.0;0.0;b;-1;False
12rKoWgbPezfoTtTiRtddSxTas5wkubrcY;;0.0;2413.0;145290039.0;2024-04-05 22:47:39 UTC;2024-04-08 13:31:55 UTC;28;2024-04-19 02:51:49 UTC;1713495600;;60601.99;0.0;0.0;c;-1;False
12rqaoerEf3gDKBTS1MHVP5qhNBTEajKBA;;0.0;3162.0;190424152.0;2024-02-27 18:09:09 UTC;2024-02-28 08:07:34 UTC;30;2024-04-19 02:51:49 UTC;1713495600;;60601.99;0.0;0.0;c;-1;False
12sL1gVfhMVz72sQErvZpwsUAsEv9GVjST;;0.0;221.52;13339046.0;2022-10-25 16:18:53 UTC;2024-04-17 21:40:23 UTC;1;2024-04-19 02:51:49 UTC;1713495600;;60601.99;0.0;0.0;b;-1;False
12zaFG2dpfuMK8S71rdMFV1Vmm9WPj62Du;;0.0;2900.0;174627843.0;2024-03-10 02:23:14 UTC;2024-04-18 15:50:21 UTC;38;2024-04-19 02:51:49 UTC;1713495600;;60601.99;0.0;0.0;c;-1;False
138bS4sVEcN2WFZRWB9aPT1EAd32WkHiJh;;0.0;727.05;43781125.0;2024-04-18 01:04:22 UTC;2024-04-18 01:12:47 UTC;5;2024-04-19 02:51:49 UTC;1713495600;;60601.99;0.0;0.0;b;-1;False
13FRz3DeC8AMSb2me8fuvPo4YDUiV7VNLA;;0.0;300.88;18118354.0;2024-03-05 02:27:41 UTC;2024-03-05 02:27:41 UTC;1;2024-04-19 02:51:49 UTC;1713495600;;60601.99;0.0;0.0;b;-1;False
13FYSMsTDYE8FEszWAgjSRUXCVgmzREhtN;;0.0;219.77;13233921.0;2024-04-03 04:30:01 UTC;2024-04-03 04:30:01 UTC;1;2024-04-19 02:51:49 UTC;1713495600;;60601.99;0.0;0.0;b;-1;False
13GSxM5YgZFdCJyKbRtRPFiEwmhiQNeDaU;;0.0;1159.0;69791803.0;2024-03-10 17:48:21 UTC;2024-03-10 17:48:21 UTC;1;2024-04-19 02:51:49 UTC;1713495600;;60601.99;0.0;0.0;c;-1;False
13iFPsKHHcxoHW3eaUwcwpmfu7AtUcwcY6;;0.0;4859.0;292566369.0;2024-04-02 14:15:32 UTC;2024-04-18 20:12:28 UTC;10;2024-04-19 02:51:49 UTC;1713495600;;60601.99;0.0;0.0;c;-1;False
13ntSzgNN5tiKQwRYaHnxh3K4GNGexqW6b;;0.0;908.28;54694494.0;2024-02-29 17:03:38 UTC;2024-04-18 17:36:20 UTC;8;2024-04-19 02:51:49 UTC;1713495600;;60601.99;0.0;0.0;b;-1;False
14159tMSJ85t9vxD361eUsNgfBYETvzYKG;;0.0;200.0;12043467.0;2024-03-09 03:42:58 UTC;2024-03-09 03:42:58 UTC;1;2024-04-19 02:51:49 UTC;1713495600;;60601.99;0.0;0.0;b;-1;False
147eNpjsS46W8Knri18Kzzz6KpwGXLGcm8;;0.0;219.42;13213060.0;2024-03-13 11:13:46 UTC;2024-04-17 14:31:03 UTC;18;2024-04-19 02:51:49 UTC;1713495600;;60601.99;0.0;0.0;b;-1;False
14DbE59QwNiBQrQDhypawgZeXskqnR9vkj;;0.0;600.96;36188511.0;2024-03-13 08:34:43 UTC;2024-03-20 12:39:46 UTC;1;2024-04-19 02:51:49 UTC;1713495600;;60601.99;0.0;0.0;b;-1;False
14LroMrjDmYR4hoYqLRUJBZGfg9GTd1VZV;;0.0;174.63;10515742.0;2022-07-14 16:05:47 UTC;2024-04-14 01:49:23 UTC;34;2024-04-19 02:51:49 UTC;1713495600;;60601.99;0.0;0.0;b;-1;False
14UuYxRSeMjjFrEfQyeCy45srk5W7fkeVM;;0.0;176.08;10603060.0;2020-09-14 06:37:07 UTC;2024-03-06 00:10:30 UTC;14;2024-04-19 02:51:49 UTC;1713495600;;60601.99;0.0;0.0;b;-1;False
14mWvpuUcRWcX3E52L1rYt4BECc1qg6ij2;;0.0;180.0;10839121.0;2019-02-19 23:15:01 UTC;2024-03-06 00:10:30 UTC;1;2024-04-19 02:51:49 UTC;1713495600;;60601.99;0.0;0.0;b;-1;False
14vibGdbvQvDhaeMjdtdH4MZEkhyJZxPpv;;0.0;2900.0;174627843.0;2024-03-12 17:25:42 UTC;2024-04-18 15:50:21 UTC;25;2024-04-19 02:51:49 UTC;1713495600;;60601.99;0.0;0.0;c;-1;False
14xD6YLRtiBVMRgVEA7MAXdJrCQQFnEzbU;;0.0;1738.0;104655890.0;2024-04-11 02:46:16 UTC;2024-04-11 02:46:16 UTC;1;2024-04-19 02:51:49 UTC;1713495600;;60601.99;0.0;0.0;c;-1;False
159qZJBHwnkBgfFjXXexXyi3KcTVECWMda;;0.0;600.0;36130402.0;2024-02-28 18:39:20 UTC;2024-02-28 18:39:20 UTC;1;2024-04-19 02:51:49 UTC;1713495600;;60601.99;0.0;0.0;b;-1;False
15K8X7SgZesfc2X7hF8YAcV3epJ3gmpPZA;;0.0;1157.0;69670547.0;2024-03-19 14:16:16 UTC;2024-03-19 14:16:16 UTC;1;2024-04-19 02:51:49 UTC;1713495600;;60601.99;0.0;0.0;c;-1;False
15PCtPEcKZtLWvFHtPm6oo22apVzgUFyhg;;0.0;2520.0;151747691.0;2024-02-26 23:02:50 UTC;2024-03-08 18:16:45 UTC;8;2024-04-19 02:51:49 UTC;1713495600;;60601.99;0.0;0.0;c;-1;False
15QykzUkJr6CRKcPMqU1bjmPKiwR1WBQFR;;0.0;1065.0;64131464.0;2024-03-19 20:40:14 UTC;2024-04-09 20:02:37 UTC;3;2024-04-19 02:51:49 UTC;1713495600;;60601.99;0.0;0.0;c;-1;False
15TzdzjXjC5duH9goZu4m16n9LMRgoATjC;;0.0;2918.0;175720064.0;2024-02-28 08:07:34 UTC;2024-03-01 02:46:59 UTC;24;2024-04-19 02:51:49 UTC;1713495600;;60601.99;0.0;0.0;c;-1;False
15ULfZy44wb4a7D79UJmtCRd7E6t9M3tRs;;0.0;2167.0;130475831.0;2024-04-17 23:10:02 UTC;2024-04-18 12:47:15 UTC;5;2024-04-19 02:51:49 UTC;1713495600;;60601.99;0.0;0.0;c;-1;False
