address;label;tr_btc;balance_btc;balance_usd;first_tr;last_tr;n_tr;time;ts;ts_finish;exchange_rate;tr_profit;cum_profit;cohort;last_block;changed
14oV2dDK5PJRCCXFAbYyDSta3yZ1vshDVv;;193.53974509;300.0;6939915.0;2022-08-02 15:12:28 UTC;2022-08-02 15:12:28 UTC;2;2022-08-02 16:00:00 UTC;1659452400;;23133.05;-8652.02491654;-8652.02491654;b;747674;False
14xDC8scGgMKaKkt4xQev2DoFAzvWja1RH;;50.49518913;300.0;16883259.0;2021-12-02 11:32:35 UTC;2021-12-02 11:32:35 UTC;2;2021-12-02 12:00:00 UTC;1638442800;;56277.53;-115066.62867703;-115066.62867703;b;712225;False
15819CMnM6AyvBgY7uWaVNvCVZo99ovkUv;;217.89470676;300.0;11430555.0;2022-01-26 18:55:24 UTC;2022-01-26 18:55:24 UTC;2;2022-01-26 19:00:00 UTC;1643220000;;38101.85;120685.74948054;120685.74948054;b;720506;False
15EnD1UPe5rRX4jrXrm5scP8Ye7Amf7MoV;;166.60450541;300.0;11754081.0;2022-03-10 12:27:46 UTC;2022-03-10 12:27:46 UTC;2;2022-03-10 13:00:00 UTC;1646913600;;39180.27;41842.16478805;41842.16478805;b;726700;False
15Ju7HNzLXNhXnReDuSiV3HDh3ueQJYb8x;;277.92204137;300.0;9093687.0;2022-05-20 09:22:41 UTC;2022-05-20 09:22:41 UTC;2;2022-05-20 10:00:00 UTC;1653037200;;30312.29;342.42913835;342.42913835;b;737151;False
15k72BjwNbE2Hbc3pbKGdN4ACPFvxywhSw;;200.0;200.0;6952896.0;2023-11-04 11:05:37 UTC;2023-11-04 11:05:37 UTC;1;2023-11-04 12:00:00 UTC;1699095600;;34764.48;0.0;0.0;b;815254;False
15pQJEJL3eDJwzFWpwYjnvuf4uUvvqS8zH;;269.76817782;300.0;13971945.0;2022-01-05 10:09:22 UTC;2022-01-05 10:09:22 UTC;2;2022-01-05 11:00:00 UTC;1641376800;;46573.15;-789.35287712;-789.35287712;b;717287;False
15qErKDknB4GjXPtXVPDx7fKdCWBX731jy;;-186.0;1214.0;35460721.48;2023-08-04 00:33:05 UTC;2023-08-04 00:33:05 UTC;4;2023-08-04 01:00:00 UTC;1691107200;;29209.82;-2056432.0;-186910.29517;c;801576;False
15zVuow5e9Zwj4nTrxSH3Rvupk32wiKEsr;;112.0;224.0;10789744.0;2024-02-11 08:48:11 UTC;2024-02-11 08:48:11 UTC;3;2024-02-11 09:00:00 UTC;1707638400;;48168.5;355344.64;355363.1005;b;829948;False
16ETTsnpsDpFASmFQa7wdaAZWhkvqqWeVE;;190.2707896;300.0;6014571.0;2022-06-29 08:56:52 UTC;2022-06-29 08:56:52 UTC;2;2022-06-29 09:00:00 UTC;1656489600;;20048.57;4155.44519785;4155.44519785;b;742826;False
